Business Name,City,Niche,Has Website,Website URL,Phone,Status,Scrape Status
"Dr Batraâ€™s Homeopathy, Hair & Skin Clinic",Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Reederm skin hair laser clinic,Belagavi,Skin Clinic,Y,https://www.sparshskinbelgaum.com/,8861892422,PHONE RECOVERED,DONE
Dr Mahaveer S Latthe,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Skin shin cosmetic and wellness center,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
SAANVI SKIN AND HEAR AESTHETIC CENTRE,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Narayan Clinic (Skin),Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dr Hosamani Pain management clinic,Belagavi,Skin Clinic,Y,http://www.drhosamani3.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Aasha Skin Hair N Maternity PCOS Clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Mangal Health Clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dr Mahaveer Skin Care Clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Family Health Care Clinic- Ayurveda and Panchkarma Center | Family clinic for all Ladies problem,",Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Skin Glow Clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"REDYMED Cosmetic Surgery & Hair Transplant Centre , Belgaum",Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Shree mahalaxmi skin care clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Medicosmetic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Avighna Skin Clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Homeocare International Belagavi | Homeopathy Clinic - Belgaum,Belagavi,Skin Clinic,Y,https://www.homeocare.in/,8985714250,PHONE RECOVERED,DONE
Atrivarad Multispeciality Ayurved Centre,Belagavi,Skin Clinic,Y,http://www.atrivarad.co.in/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sarita's salon,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Rejuvedic Ayurvedic Centre,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dr Binita's Clinic,Belagavi,Skin Clinic,Y,https://flax.bio/dr.binita/dr.binita/,8660991844,PHONE RECOVERED,DONE
Skin - Laser &Asthetic Medicine,Belagavi,Skin Clinic,Y,https://nayaskin.in/,9999999776,PHONE RECOVERED,DONE
Narayan Hospital (Maternity & Skin Care),Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Revive Dental Laser Facial Aesthetics Clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Mahaveer latthe skin hospital,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Healing Hands Clinic - Piles Fissure Fistula Hernia,Belagavi,Skin Clinic,Y,https://www.healinghandsclinic.co.in/belagavi/piles-fistula-hospital-in-belagavi/,7411805024,PHONE RECOVERED,DONE
KidneyStone Clinic,Belagavi,Skin Clinic,Y,https://dr-nandish-urologist-belagavi.github.io/,8884219555,PHONE RECOVERED,DONE
Sanjiveeni Clinic,Belagavi,Skin Clinic,Y,https://book.healthplix.com/dr-dr-basavaraj-huddar-general-physician-karnataka-belagavi?utm_source=gmb_cta&rwg_token=AFd1xnFvSaOZ4v-l8NZsDSZteZEDhZWK3zfkWRg1NyDytI8Jk1wIhjcNiHc_LhrmJ2yhVi81pFSktWDY-F9SuDvVCV-sjMkaGA%3D%3D,6364522748,PHONE RECOVERED,DONE
Dr Budruk Ayurved,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Kedar Homeopathy Clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Samarth Clinic,Belagavi,Skin Clinic,Y,https://appointik.in/samarthhomeopathy/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sanjivini Clinic,Belagavi,Skin Clinic,Y,https://www.eka.care/doctor/dr-md-shahid-iraqi-internal-medicine-belgaum?utm_source=gmb&utm_medium=website&utm_campaign=032023,7750205310,PHONE RECOVERED,DONE
Pancharatna Clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Shree Beauty Clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Shrisiddhi Ayurvedic Clinic,Belagavi,Skin Clinic,Y,https://shrisiddhiclinic.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dr. Zakirhussain's Homeopathic Clinic,Belagavi,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Provitale Health Homeopathy Clinic in BELGAUM,Belagavi,Skin Clinic,Y,https://provitalehealth.com/,9535705088,PHONE RECOVERED,DONE
SANVVI TOURIST & TRAVELS PVT LTD,Davangere,Car Rental,Y,http://saanvipackagetrips.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Ammu Tours & Travels,Davangere,Car Rental,Y,https://www.instagram.com/ammutourstravels_?igsh=MXBpY3c2MGgydmdvMA==,6829669985,PHONE RECOVERED,DONE
Shri Nandi tours and travels,Davangere,Car Rental,Y,http://www.srinanditoursandtravels.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
KAMADHENU TRAVEL & TOURS,Davangere,Car Rental,Y,http://kamadhenutravels.com/,8431022222,PHONE RECOVERED,DONE
ABS Training Center,Davangere,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
IIMS Computer Institutes Davangere,Davangere,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
IIMS Computer Institutes Davangere,Davangere,Computer Training Institute,Y,https://www.iimsinstitute.in/,8249093060,PHONE RECOVERED,DONE
ABS Training Center,Davangere,Computer Training Institute,Y,https://absservicesdvg.in/trainingcenter,9482473482,PHONE RECOVERED,DONE
Savikal Tech Academy,Davangere,Computer Training Institute,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Hiqode Innovations,Davangere,Computer Training Institute,Y,http://hiqode.in/,9844019994,PHONE RECOVERED,DONE
"GITEX SOLUTIONS PRIVATE LIMITED | Your Trusted Software Company, Software Training Institute & Tally Software Developers",Davangere,Computer Training Institute,Y,https://www.gitexsolutions.com/,8192468418,PHONE RECOVERED,DONE
Indian Aviation Trade & Technologies,Davangere,Computer Training Institute,Y,https://indian-aviation-trade.in/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Pradhan Mantri Kaushal Kendra,Davangere,Computer Training Institute,Y,https://www.facebook.com/RoomanTechnolgiesDavangere/,8321475982,PHONE RECOVERED,DONE
I.P. Speciality Dental Clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Pro-Dental,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Arwa Dental care,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
The Bright speciality medical and dental centre,Davangere,Dental Clinic,Y,http://www.bapujidental.edu/,8192220572,PHONE RECOVERED,DONE
Smile Architects Dental Care And Implant Centre,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dantaloka,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Davangere Dental Care,Davangere,Dental Clinic,Y,http://www.omdentalcare.co.in/,9066993738,PHONE RECOVERED,DONE
Dental Clinic,Davangere,Dental Clinic,Y,http://www.omdentalcare.co.in/,9066993738,PHONE RECOVERED,DONE
Dr Ali Dental clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
VIDYASHREE DENTAL CLINIC,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Sri pushpagiri dental care, Dr.Manjula",Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Thanush Dental Clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
C.A.R.E (Centre for Advanced Rootcanal and Esthetics) Multispeciality Dental Clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sri Vinayaka Dental Clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sneha Dental Care,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Mathru dental clinic Ram &co Circle,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Samana multi-speciality dental clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sakri Dental Clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
GowraVi Facio-Dental Clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Mathru Dental Clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Glow dental and facial aesthetics,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Mathrushree Dental Clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
SGS Dental Care,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Siri Dental Clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Shree Multi Speciality Dental Clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dental Speciality Health Care Center,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"ARIVU DENTAL CLINIC, Dr. ARCHANA P BETUR.. M.D.S., (Pedodontist), Dental surgeon, consulting pediatric dentist.",Davangere,Dental Clinic,Y,http://www.arivuhealthcare.com/,8362374877,PHONE RECOVERED,DONE
Suvarna Dental Clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sri Raghavendra Dental Clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Babu Dental Lab,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sindu Dental Clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sharadha Dental Clinic,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sindhu Speciality Centre,Davangere,Dental Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Iron Fitness Gym Davangere |Unisex Gym |Health Coach| Fitness | Cardio | Crossfit | Certified Nutritionist |,Davangere,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
IRON FITNESS GYM DAVANAGERE 2,Davangere,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Body Rockerzz Gym,Davangere,Gym,Y,http://bodyrockerzz.in/,9538217274,PHONE RECOVERED,DONE
Ace Fitness & Nutrition,Davangere,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Rhythm Events,Davangere,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Yoga Studio,Davangere,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Gym,Davangere,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
ABCD STUDIOS DAVANGERE,Davangere,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Gym park,Davangere,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
HERBALIFE NUTRITION INDEPENDENT DISTRIBUTOR,Davangere,Gym,Y,https://wa.link/8v3rtn,6475884440,PHONE RECOVERED,DONE
Snap Fitness,Davangere,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dr promod new clinic,Davangere,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Ratnakala Interiors,Davangere,Interior Designer,Y,https://www.ratnakalaindia.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Ambika Industries - Best Interior Designer,Davangere,Interior Designer,Y,http://www.ratnakalaindia.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Ratnakala Interiors - Best Interiors,Davangere,Interior Designer,Y,https://www.ratnakalaindia.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Aakruthi Constructions,Davangere,Interior Designer,Y,https://youtube.com/@Aakruthiconstructions?si=LwcQw7vzgMtZ8UrP,9538440414,PHONE RECOVERED,DONE
Heartwood Furniture - Davangere,Davangere,Interior Designer,Y,http://www.heartwoodindia.com/,8341883553,PHONE RECOVERED,DONE
"Ultrafresh Modular Solutions Powered By Prestige - Davanagere, Karnataka",Davangere,Interior Designer,Y,https://www.ultrafreshindia.com/,7304500766,PHONE RECOVERED,DONE
TROVE Davanagere,Davangere,Interior Designer,Y,https://troveindia.com/,8951892766,PHONE RECOVERED,DONE
Sapthabi Architects And Constructions,Davangere,Interior Designer,Y,http://sapthabhiarchitects.in/,9902521054,PHONE RECOVERED,DONE
Savikal Tech Academy,Davangere,JEE Coaching,Y,https://savikaltechacademy.com/,9019272750,PHONE RECOVERED,DONE
CEDEES Library 9am-9pm,Davangere,JEE Coaching,Y,http://www.cedees.in/,7899855300,PHONE RECOVERED,DONE
Dr Hullumani’s Polyclinic and Rehabilitation,Davangere,Physiotherapy Clinic,Y,http://www.hullumanipolyclinic.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dhanvantari clinic,Davangere,Physiotherapy Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Natural ""D"" C-Life Health Care",Davangere,Physiotherapy Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Spire Clinic Davangere,Davangere,Physiotherapy Clinic,Y,https://thespireclinic.com/,6364329177,PHONE RECOVERED,DONE
Sai Balaji Speciality Clinic,Davangere,Physiotherapy Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Physiotherapy,Davangere,Physiotherapy Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Smart Real Estate,Davangere,Real Estate Agent,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Devanagari Properties,Davangere,Real Estate Agent,Y,https://devanagariproperties.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Acharya Realtors,Davangere,Real Estate Agent,Y,https://www.acharyarealtors.in/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
D.R.D BUILDERS & PROPERTY CONSULTANT'S(DAVANGERE REALESTATE DEVELOPERS BUILDERS & PROPERTY CONSULTANT'S),Davangere,Real Estate Agent,Y,https://youtube.com/@DRDBsmartcity?feature=shared,9591849158,PHONE RECOVERED,DONE
Orbit Reality,Davangere,Real Estate Agent,Y,http://orbithousing.in/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Shri Surya Consultants And Developers,Davangere,Real Estate Agent,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
VRUSHANK VENTURES,Davangere,Real Estate Agent,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"LIC COLONY, 1st main",Davangere,Real Estate Agent,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Mukundappa BJP,Davangere,Real Estate Agent,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Pavan Shamanur Real Estates,Davangere,Real Estate Agent,Y,http://www.pavanshamanurrealestates.in/,8884848816,PHONE RECOVERED,DONE
Sri Thirumala Real Estate,Davangere,Real Estate Agent,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Devarmane Simha Real Estate,Davangere,Real Estate Agent,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sogi Real Estate,Davangere,Real Estate Agent,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Jai sai real estate,Davangere,Real Estate Agent,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
HN Mahantesh,Davangere,Real Estate Agent,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Shreeram Chowdary,Davangere,Real Estate Agent,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Budda Associates,Davangere,Real Estate Agent,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dr LINGARAJ SKIN CARE CLINIC,Davangere,Skin Clinic,Y,https://www.justdial.com/online-consult/hospital?action=BA&extRdt=1&wkwebview=1&docid=9999P8192.8192.161018125218.E5N7&rwg_token=AFd1xnEAE2naqHCBMH7NW1NBBX1mrj7DEbIbH7dLM1DREfBFsop-Qqcjn1ngyeHft8vkQz2QIWp88PtXeU2-2M5TVAKurtpvrQ%3D%3D,7176385020,PHONE RECOVERED,DONE
Kusagur Eye and Skin Hospital,Davangere,Skin Clinic,Y,http://www.eyecosmo.com/,8192270075,PHONE RECOVERED,DONE
Aditya Skin & Cosmotology Clinic,Davangere,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Ashoka Healthcare - Orthopedic & Skin clinic ( Dr. GIRISH. N. HOTKAR & Dr KIRAN KUMAR S ),Davangere,Skin Clinic,Y,https://www.justdial.com/Davangere/Ashoka-Healthcare-Dr-Girish-N-Hotkar-Dr-S-Kirankumar-Opp-Ashraya-Hospital-Mcc/9999P8192-8192-230616183853-Q2G3_BZDET,8460463202,PHONE RECOVERED,DONE
Dermatologist,Davangere,Skin Clinic,Y,https://www.justdial.com/online-consult/hospital?action=BA&extRdt=1&wkwebview=1&docid=9999P8192.8192.161018125218.E5N7&rwg_token=AFd1xnFwn4kXi_foWLU_B_QRxox8mvVLDW3_L2d5WDrEzr4sPWK6oL1pW8tf7WjN2thJX9v43oMfcYC16am1p-2qBMLdBmybWg%3D%3D,7176385020,PHONE RECOVERED,DONE
Dr Ravindra K,Davangere,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
SRI DHANWANTARI ARADHANA AYURVEDA Specialty Panchakarma and Holistic Ayurveda center,Davangere,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"VCare Hair & Skin Clinic - Davanagere | Skin Treatment, Hair Treatment, Hair Transplant, Laser Hair Removal, Skin Whitening",Davangere,Skin Clinic,Y,https://hair-skin-clinic.vcaretrichology.com/vcare-trichology/clinic-in-davanagere/clinic-in-Prince-Jayachamaraja-Wodeyar/vcare-hair-and-skin-clinic-in-Prince-Jayachamaraja-Wodeyar-davanagere--5ufeFZ/home,7395823232,PHONE RECOVERED,DONE
Homeocare International | Best Homeopathy Clinic In Davanagere,Davangere,Skin Clinic,Y,https://www.homeocare.in/,8985714250,PHONE RECOVERED,DONE
Surabhi Clinic,Davangere,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Shree Kottureshwara Clinic & Medicals,Davangere,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
IQBAL KHASIM,Davangere,Skin Clinic,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Self Drive Cars/Bikes/Scooty In Hubli - Awesome Cars/Bikes/Scooty| Bike Rental in Hubli,Dharwad,Car Rental,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
suraj travel,Dharwad,Car Rental,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
MAHALAXMI ONLINE SEVA KENDRA,Dharwad,Car Rental,Y,https://www.hublitoursandtravels.com/,9742861735,PHONE RECOVERED,DONE
"Avanti Learning Centres -Srinagar Dharwad, Karnataka | IIT-JEE NEET NTSE & Foundation Coaching Classes",Dharwad,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Rekha Institute of Commerce, Typing and shorthand classes",Dharwad,Computer Training Institute,Y,http://rekhainstituteofcommercetypingandshorthandclasses.com/,9999999776,PHONE RECOVERED,DONE
MK Foundation,Dharwad,Computer Training Institute,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Indian Institute Of Technology Dharwad,Dharwad,Computer Training Institute,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Department Of Computer Science And Engineering,Dharwad,Computer Training Institute,Y,https://sdmcet.ac.in/ug/computer-science-engineering/,7019853531,PHONE RECOVERED,DONE
Disha Computer Institute Belgaum,Dharwad,Computer Training Institute,Y,https://dishagroup.in/,7411291591,PHONE RECOVERED,DONE
"Best computer hardware, networking and cyber security trading institute Karnata",Dharwad,Computer Training Institute,Y,https://www.justdial.com/Dharwad/Logic-Computer-Center-Opposite-Karishma-Hotel-Near-Toll-Naka-Dharwad-HO/0836PX836-X836-170905165733-L6B5_BZDET,8460414095,PHONE RECOVERED,DONE
IGNITE FITNESS,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Tranzpire Fitness & Training,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dumbell club unisex gym & fitness center dharwad,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
FITNESS FIRST GYM,Dharwad,Gym,Y,https://gymfirst.fitness/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
BOWFLEX Gym Dharwad,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
IRON TEMPLE,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Fit N Fine Unisex Gym,Dharwad,Gym,Y,https://fitandfine.odoo.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
k2 Fitness gym,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Smart Gym,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Sai Ladies Gym,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
EOS Fitness,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
LAYA Dance & Fitness Studio,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Iron Lifters Fitness Center 2.0,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Xtreme Fitness (Best Fitness Centers),Dharwad,Gym,Y,https://www.xtremefitness.co.in/,8364271122,PHONE RECOVERED,DONE
Ojas Nutrition and Wellness- Weight loss and Fitness Solutions,Dharwad,Gym,Y,https://www.ojasnutritionandwellness.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Nutri Nation,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"""ಜೈವ್"" Jive Studio 2.0 (Dance, Karate Bharathanatyam, Music & Ladies Fitness)",Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Power House Unisex Gym,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Holistic Healing Yoga centre, Sampige nagar, Dharwad",Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"""ಜೈವ್"" Jive Studio 1.0 (Dance, Karate, Bharathanatyam, Music & Ladies Fitness)",Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Karate class || Fighter's karate|| Dharwad,Dharwad,Gym,Y,https://www.facebook.com/share/1GJYU9saUJ/,8483675140,PHONE RECOVERED,DONE
sculptfemmefitness,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dharwad Gymkhana Club,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Yogamayam Yoga Sadhana Kendra,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Fusion studio,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
The Fitness Lab,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
SIRI FITNESS,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Turmari garden,Dharwad,Gym,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
REBBICA FREE ENGLISH CLASSES,Dharwad,IELTS Coaching,Y,https://www.instagram.com/spardhavikasacademy?igsh=NHIxZTZ6M2t6NGg3,6829669985,PHONE RECOVERED,DONE
Maa Ambe interior designer,Dharwad,Interior Designer,Y,http://ambeintrior.com/9549163361,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"HomeLane Malamaddi, Interior Design Studio",Dharwad,Interior Designer,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Tanu industry,Dharwad,Interior Designer,Y,https://www.tanuindustry.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
PUSHPA GRAPHICS,Dharwad,Interior Designer,Y,https://www.instagram.com/pushpa_graphics_2022/?hl=en,6829669985,PHONE RECOVERED,DONE
CiviKruti Associates,Dharwad,Interior Designer,Y,http://www.civikruti.com/,8942348162,PHONE RECOVERED,DONE
Yugàntr,Dharwad,Interior Designer,Y,https://yugantr.squarespace.com/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Avanti Learning Centres -Srinagar Dharwad, Karnataka | IIT-JEE NEET NTSE & Foundation Coaching Classes",Dharwad,JEE Coaching,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Indian Institute Of Technology Dharwad,Dharwad,JEE Coaching,Y,http://iitdh.ac.in/,9260489162,PHONE RECOVERED,DONE
"Gurukul Career Academy UNIT-D, Dharwad.",Dharwad,JEE Coaching,Y,https://telegram.me/Gurukulcareeracademydharwad,7406250319,PHONE RECOVERED,DONE
Aluminium modular kitchen,Dharwad,Modular Kitchen,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Wewia manufacturing unit,Dharwad,Modular Kitchen,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
New star modular kitchen,Dharwad,Modular Kitchen,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Rolex India | Wholesale Kitchen Baskets in Hubballi,Dharwad,Modular Kitchen,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Avanti Learning Centres -Srinagar Dharwad, Karnataka | IIT-JEE NEET NTSE & Foundation Coaching Classes",Dharwad,NEET Coaching,Y,https://avanti.in/coaching-institutes-in-dharwad/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
BENDRE PU SCIENCE & COMMERCE COLLEGE,Dharwad,NEET Coaching,Y,http://bendrepucollege.com/,9902501108,PHONE RECOVERED,DONE
Drushti Vision Tutorials,Dharwad,NEET Coaching,Y,https://drushtivision.in/,9999999999,PHONE RECOVERED,DONE
Vijeta Classes Dharwad,Dharwad,NEET Coaching,Y,https://vijetaclassesdharwad.com/,7411516514,PHONE RECOVERED,DONE
